DatensatzID;Gebietsname;Land;Provinz;Autokennzeichen;Koordinate E;Koordinate N;Datum;Uhrzeit_von;Uhrzeit_bis;Temperatur;Wind;Bewölkung;Regen;Bemerkung (allg.);Artengruppe;Taxonom. Ordnungsnr.;ArtID;Gattung;Art;Trivialname;+/-;Anzahl;Geschlecht;Alter;Beobachtung;Bemerkung;Punktverortung E;Punktverortung N;Uhrzeit;TK25;Best.unsicher;Beob.gesperrt;Belegbildlink;Gebietslink;Kommentare;Bildkommentare
19641074870;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;17600;-1936007614;Columba;palumbus;Ringeltaube;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
17869820100;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;90900;-1351838284;Dendrocopos;major;Buntspecht;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-16129944910;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;153700;-1143804961;Garrulus;glandarius;Eichelhäher;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-11862371850;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;154300;-1851983768;Corvus;corone;Rabenkrähe;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-10149340970;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;161500;412520663;Cyanistes;caeruleus;Blaumeise;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
16961748840;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;161700;-219564940;Parus;major;Kohlmeise;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
9466554720;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;194100;1111601228;Turdus;merula;Amsel;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-16096670290;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;196300;2108177940;Erithacus;rubecula;Rotkehlchen;;3;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
3618164530;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;11.01.2025;;;;;;;;Voegel;210200;277570746;Fringilla;coelebs;Buchfink;;4;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
9217618140;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;31.12.2024;;;;;;;;Voegel;17600;-1936007614;Columba;palumbus;Ringeltaube;;1;;;Rupfung;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-1828820690;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;31.12.2024;;;;;;;;Voegel;196300;2108177940;Erithacus;rubecula;Rotkehlchen;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
12878997940;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;02.11.2024;;;;;;;;Pilze;;-735477811;Coprinus;comatus;Schopf-Tintling;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=340599367;https://naturgucker.de/?gebiet=-912713277;0;1
10545934260;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;06.10.2024;;;;;;;;Voegel;92200;-481001672;Falco;tinnunculus;Turmfalke;;1;;;Rupfung;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1785231524;https://naturgucker.de/?gebiet=-912713277;0;0
-6633085170;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;21.09.2024;;;;;;;;InsektenSonstige;;-313144227;Helophilus;pendulus;Gemeine Sumpfschwebfliege;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=66464014;https://naturgucker.de/?gebiet=-912713277;0;0
-18930223200;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Voegel;77100;-160865708;Buteo;buteo;Mäusebussard;;2;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-9353493860;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Voegel;89300;1876606279;Picus;viridis;Grünspecht;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
-9291049050;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Voegel;153700;-1143804961;Garrulus;glandarius;Eichelhäher;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
10913307160;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Voegel;196300;2108177940;Erithacus;rubecula;Rotkehlchen;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277;0;0
8478018760;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Amphibien;;1115720708;Anguis;fragilis;Blindschleiche;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1164797030;https://naturgucker.de/?gebiet=-912713277;0;2
18230430030;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Libellen;;1032989258;Sympecma;fusca;Gemeine Winterlibelle;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-405625153;https://naturgucker.de/?gebiet=-912713277;0;0
6828396750;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;InsektenSonstige;;1413496086;Acanthosoma;haemorrhoidale;Wipfel-Stachelwanze;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1549927094;https://naturgucker.de/?gebiet=-912713277;0;0
-12288833550;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;InsektenSonstige;;-622603407;Polistes;dominula;Haus-Feldwespe;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-2135413080;https://naturgucker.de/?gebiet=-912713277;0;0
5341421650;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;InsektenSonstige;;547482037;Trypoxylon;indet.;Trypoxylon-Grabwespe (alle);;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-2144852236;https://naturgucker.de/?gebiet=-912713277;0;0
8268338310;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;TiereSonstige;;1497461800;Hygromia;cinctella;Kantige Laubschnecke;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-64059140;https://naturgucker.de/?gebiet=-912713277;0;0
-2735873930;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.09.2024;;;;;;;;Pilze;;-1252947626;Laetiporus;sulphureus;Schwefelporling;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-996683036;https://naturgucker.de/?gebiet=-912713277;0;0
17035224230;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;10.08.2024;;;;;;;;InsektenSonstige;;-1334714803;Myathropa;florea;Totenkopfschwebfliege;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=1669005757;https://naturgucker.de/?gebiet=-912713277;0;0
-4042326510;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;03.08.2024;;;;;;;;Schmetterlinge;;-2112738878;Cataclysta;lemnata;Wasserlinsenzünsler;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-243696505;https://naturgucker.de/?gebiet=-912713277;0;0
939156830;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;03.08.2024;;;;;;;;Kaefer;;-564366255;Oulema;gallaeciana;Blaues Getreidehähnchen;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1824745887;https://naturgucker.de/?gebiet=-912713277;0;0
-13650427240;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;03.08.2024;;;;;;;;InsektenSonstige;;1460326938;Choerades;indet.;;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-949561935;https://naturgucker.de/?gebiet=-912713277;0;0
-6961482480;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;03.08.2024;;;;;;;;InsektenSonstige;;-252299918;Tenthredo;scrophulariae;Braunwurz-Blattwespe;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-114019708;https://naturgucker.de/?gebiet=-912713277;0;0
11759283160;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;03.08.2024;;;;;;;;InsektenSonstige;;-458621929;Volucella;pellucens;Gemeine Waldschwebfliege;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1936625420;https://naturgucker.de/?gebiet=-912713277;0;0
-7463753300;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;23.07.2024;;;;;;;;Schmetterlinge;;-1354056904;Epirrhoe;alternata;Gemeiner Bindenspanner;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1650465283;https://naturgucker.de/?gebiet=-912713277;0;0
14208800750;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;23.07.2024;;;;;;;;Schmetterlinge;;1858963264;Opisthograptis;luteolata;Gelbspanner;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=43472792;https://naturgucker.de/?gebiet=-912713277;0;0
5855954140;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;23.07.2024;;;;;;;;Schmetterlinge;;1365708627;Tischeria;ekebladella;Große Eichen-Schopfstirnmotte;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-665534454;https://naturgucker.de/?gebiet=-912713277;0;0
16647159590;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;23.07.2024;;;;;;;;InsektenSonstige;;1009926494;Pseudochorthippus;parallelus;Gemeiner Grashüpfer;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=1534572581;https://naturgucker.de/?gebiet=-912713277;0;0
-7852985850;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;13.07.2024;;;;;;;;Amphibien;;-1284584011;Bufo;bufo;Erdkröte;;1;;diesjährig;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=163733634;https://naturgucker.de/?gebiet=-912713277;0;2
