DatensatzID;Gebietsname;Land;Provinz;Autokennzeichen;Koordinate E;Koordinate N;Datum;Uhrzeit_von;Uhrzeit_bis;Temperatur;Wind;Bewölkung;Regen;Bemerkung (allg.);Artengruppe;Taxonom. Ordnungsnr.;ArtID;Gattung;Art;Trivialname;+/-;Anzahl;Geschlecht;Alter;Beobachtung;Bemerkung;Punktverortung E;Punktverortung N;Uhrzeit;TK25;Best.unsicher;Beob.gesperrt;Belegbildlink;Gebietslink
16726351480;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;06.08.2022;;;;;;;;Saeuger;;763153389;Erinaceus;europaeus;Westeuropäischer Igel;;1;;;verletzt/krank;Sterbend  ;0,00000;0,00000;;5007/3;nein;nein;;https://naturgucker.de/?gebiet=-912713277
-16006435510;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;29.07.2022;;;;;;;;InsektenSonstige;;-1334714803;Myathropa;florea;Totenkopfschwebfliege;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-661094606;https://naturgucker.de/?gebiet=-912713277
516381270;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;Kaefer;;-564366255;Oulema;gallaeciana;Blaues Getreidehähnchen;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-748431131;https://naturgucker.de/?gebiet=-912713277
11520677180;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;Kaefer;;-1159733212;Psyllobora;vigintiduopunctata;Zweiundzwanzigpunkt-Marienkäfer;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=757111081;https://naturgucker.de/?gebiet=-912713277
11427551950;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;InsektenSonstige;;1403587908;Empididae;indet.;Tanzfliege (unbestimmt);;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=179900392;https://naturgucker.de/?gebiet=-912713277
-17717024790;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;InsektenSonstige;;-1842213630;Deraeocoris;ruber;Rote Halsring-Weichwanze;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=1222129027;https://naturgucker.de/?gebiet=-912713277
-5771249060;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;InsektenSonstige;;-1905409015;Issus;coleoptratus;Echte Käferzikade;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-44046232;https://naturgucker.de/?gebiet=-912713277
-11229076050;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;22.07.2022;;;;;;;;InsektenSonstige;;-921877320;Tachina;fera;Igelfliege;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=59168618;https://naturgucker.de/?gebiet=-912713277
3902833300;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.07.2022;;;;;;;;Schmetterlinge;;-1358400161;Pammene;aurana;Bärenklauwickler;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-875978000;https://naturgucker.de/?gebiet=-912713277
8520232200;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.07.2022;;;;;;;;InsektenSonstige;;323392562;Nepa;cinerea;Wasserskorpion;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=713446733;https://naturgucker.de/?gebiet=-912713277
18121895960;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.07.2022;;;;;;;;InsektenSonstige;;1486699444;Velia;caprai;Großer Bachläufer;;4;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-593048567;https://naturgucker.de/?gebiet=-912713277
17724080;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;15.07.2022;;;;;;;;TiereSonstige;;-606562842;Perca;fluviatilis;Flussbarsch;min.;40;;juvenil (jugendlich);;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=687830653;https://naturgucker.de/?gebiet=-912713277
10121415420;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;08.07.2022;;;;;;;;Schmetterlinge;;677714062;Aethes;margaritana;;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=1498165241;https://naturgucker.de/?gebiet=-912713277
13778565570;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;08.07.2022;;;;;;;;InsektenSonstige;;961818130;Ancistrocerus;nigricornis;Frühe Lehmwespe;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-1382778864;https://naturgucker.de/?gebiet=-912713277
1188382990;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;08.07.2022;;;;;;;;TiereSonstige;;682947632;Dictyna;uncinata;Gewöhnliche Heckenkräuselspinne;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=104177566;https://naturgucker.de/?gebiet=-912713277
-4139120670;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;08.07.2022;;;;;;;;TiereSonstige;;-606562842;Perca;fluviatilis;Flussbarsch;dzde;;;juvenil (jugendlich);;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-2134709564;https://naturgucker.de/?gebiet=-912713277
-12309412920;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;01.07.2022;;;;;;;;Schmetterlinge;;752303616;Epinotia;cinereana / nisella;;;1;;;Totfund;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=-587807573;https://naturgucker.de/?gebiet=-912713277
12898937430;Biotop Hürth Sielsdorf;DE;NRW;BM;6,85491;50,90391;01.07.2022;;;;;;;;Kaefer;;1354839464;Athous;bicolor;Zweifarbiger Laubschnellkäfer;;1;;;;;0,00000;0,00000;;5007/3;nein;nein;https://naturgucker.de/?bild=1037433504;https://naturgucker.de/?gebiet=-912713277
